;0;1;2;3;4;5
370;PG;Procter & Gamble;reports;Consumer Staples;Cincinnati, Ohio;80424
371;PGR;Progressive Corp.;reports;Financials;Mayfield Village, Ohio;80661
372;PLD;Prologis;reports;Financials;San Francisco, California;1045609
373;PRU;Prudential Financial;reports;Financials;Newark, New Jersey;1137774
374;PEG;Public Serv. Enterprise Inc.;reports;Utilities;Newark, New Jersey;788784
375;PSA;Public Storage;reports;Financials;Glendale, California;1393311
376;PHM;Pulte Homes Inc.;reports;Consumer Discretionary;Atlanta, Georgia;822416
377;PVH;PVH Corp.;reports;Consumer Discretionary;New York, New York;78239
378;QRVO;Qorvo;reports;Information Technology;Hillsboro, Oregon;1604778
379;PWR;Quanta Services Inc.;reports;Industrials;Houston, Texas;1050915
380;QCOM;QUALCOMM Inc.;reports;Information Technology;San Diego, California;804328
381;DGX;Quest Diagnostics;reports;Health Care;Madison, New Jersey;1022079
382;RRC;Range Resources Corp.;reports;Energy;Fort Worth, Texas;315852
383;RTN;Raytheon Co.;reports;Industrials;Waltham, Massachusetts;1047122
384;O;Realty Income Corporation;reports;Financials;San Diego, California;726728
385;RHT;Red Hat Inc.;reports;Information Technology;Raleigh, North Carolina;1087423
386;REGN;Regeneron;reports;Health Care;Tarrytown, New York;872589
387;RF;Regions Financial Corp.;reports;Financials;Birmingham, Alabama;1281761
388;RSG;Republic Services Inc;reports;Industrials;Phoenix, Arizona;1060391
389;RAI;Reynolds American Inc.;reports;Consumer Staples;Winston-Salem, North Carolina;1275283
390;RHI;Robert Half International;reports;Industrials;Menlo Park, California;315213
391;ROK;Rockwell Automation Inc.;reports;Industrials;Milwaukee, Wisconsin;1024478
392;COL;Rockwell Collins;reports;Industrials;Cedar Rapids, Iowa;1137411
393;ROP;Roper Industries;reports;Industrials;Sarasota, Florida;882835
394;ROST;Ross Stores;reports;Consumer Discretionary;Pleasanton, California;745732
395;RCL;Royal Caribbean Cruises Ltd;reports;Consumer Discretionary;Miami, Florida;884887
396;R;Ryder System;reports;Industrials;Miami, Florida;85961
397;CRM;Salesforce.com;reports;Information Technology;San Francisco, California;1108524
398;SCG;SCANA Corp;reports;Utilities;Cayce, South Carolina;754737
399;SLB;Schlumberger Ltd.;reports;Energy;Curaçao, Kingdom of the Netherlands;87347
400;SNI;Scripps Networks Interactive Inc.;reports;Consumer Discretionary;Cincinnati, Ohio;1430602
401;STX;Seagate Technology;reports;Information Technology;Dublin, Ireland;1137789
402;SEE;Sealed Air;reports;Materials;Elmwood Park, New Jersey;1012100
403;SRE;Sempra Energy;reports;Utilities;San Diego, California;1032208
404;SHW;Sherwin-Williams;reports;Materials;Cleveland, Ohio;89800
405;SIG;Signet Jewelers;reports;Consumer Discretionary;Hamilton, Bermuda;832988
406;SPG;Simon Property Group Inc;reports;Financials;Indianapolis, Indiana;1063761
407;SWKS;Skyworks Solutions;reports;Information Technology;Woburn, Massachusetts;4127
408;SLG;SL Green Realty;reports;Financials;New York, New York;1040971
409;SJM;Smucker (J.M.);reports;Consumer Staples;Orrville, Ohio;91419
410;SNA;Snap-On Inc.;reports;Consumer Discretionary;Kenosha, Wisconsin;91440
411;SO;Southern Co.;reports;Utilities;Atlanta, Georgia;92122
412;LUV;Southwest Airlines;reports;Industrials;Dallas, Texas;92380
413;SWN;Southwestern Energy;reports;Energy;Houston, Texas;7332
414;SE;Spectra Energy Corp.;reports;Energy;Houston, Texas;1373835
415;SPGI;S&P Global, Inc.;reports;Financials;New York, New York;64040
416;STJ;St Jude Medical;reports;Health Care;Little Canada, Minnesota;203077
417;SWK;Stanley Black & Decker;reports;Consumer Discretionary;New Britain, Connecticut;93556
418;SPLS;Staples Inc.;reports;Consumer Discretionary;Framingham, Massachusetts;791519
419;SBUX;Starbucks Corp.;reports;Consumer Discretionary;Seattle, Washington;829224
420;STT;State Street Corp.;reports;Financials;Boston, Massachusetts;93751
421;SRCL;Stericycle Inc;reports;Industrials;Lake Forest, Illinois;861878
422;SYK;Stryker Corp.;reports;Health Care;Kalamazoo, Michigan;310764
423;STI;SunTrust Banks;reports;Financials;Atlanta, Georgia;750556
424;SYMC;Symantec Corp.;reports;Information Technology;Mountain View, California;849399
425;SYF;Synchrony Financial;reports;Financials;Stamford, Connecticut;1601712
426;SYY;Sysco Corp.;reports;Consumer Staples;Houston, Texas;96021
427;TROW;T. Rowe Price Group;reports;Financials;Baltimore, Maryland;1113169
428;TGT;Target Corp.;reports;Consumer Discretionary;Minneapolis, Minnesota;27419
429;TEL;TE Connectivity Ltd.;reports;Information Technology;Schaffhausen, Switzerland;1385157
430;TGNA;Tegna;reports;Consumer Discretionary;McLean, Virginia;39899
431;TDC;Teradata Corp.;reports;Information Technology;Miamisburg, Ohio;816761
432;TSO;Tesoro Petroleum Co.;reports;Energy;San Antonio, Texas;50104
433;TXN;Texas Instruments;reports;Information Technology;Dallas, Texas;97476
434;TXT;Textron Inc.;reports;Industrials;Providence, Rhode Island;217346
435;COO;The Cooper Companies;reports;Health Care;Pleasanton, California;711404
436;HSY;The Hershey Company;reports;Consumer Staples;Hershey, Pennsylvania;47111
437;TRV;The Travelers Companies Inc.;reports;Financials;New York, New York;86312
438;TMO;Thermo Fisher Scientific;reports;Health Care;Waltham, Massachusetts;97745
439;TIF;Tiffany & Co.;reports;Consumer Discretionary;New York, New York;98246
440;TWX;Time Warner Inc.;reports;Consumer Discretionary;New York, New York;1105705
441;TJX;TJX Companies Inc.;reports;Consumer Discretionary;Framingham, Massachusetts;109198
442;TMK;Torchmark Corp.;reports;Financials;McKinney, Texas;320335
443;TSS;Total System Services;reports;Information Technology;Columbus, Georgia;721683
444;TSCO;Tractor Supply Company;reports;Consumer Discretionary;Brentwood, Tennessee;916365
445;TDG;TransDigm Group;reports;Industrials;Cleveland, Ohio;1260221
446;RIG;Transocean;reports;Energy;Vernier, Switzerland;1451505
447;TRIP;TripAdvisor;reports;Consumer Discretionary;Newton, Massachusetts;1526520
448;FOXA;Twenty-First Century Fox Class A;reports;Consumer Discretionary;New York, New York;1308161
449;FOX;Twenty-First Century Fox Class B;reports;Consumer Discretionary;New York, New York;1308161
450;TSN;Tyson Foods;reports;Consumer Staples;Springdale, Arkansas;100493
451;UDR;UDR Inc;reports;Financials;Highlands Ranch, Colorado;74208
452;ULTA;Ulta Salon Cosmetics & Fragrance Inc;reports;Consumer Discretionary;Bolingbrook, Illinois;1403568
453;USB;U.S. Bancorp;reports;Financials;Minneapolis, Minnesota;36104
454;UA;Under Armour;reports;Consumer Discretionary;Baltimore, Maryland;1336917
455;UA.C;Under Armour;reports;Consumer Discretionary;Baltimore, Maryland;1336917
456;UNP;Union Pacific;reports;Industrials;Omaha, Nebraska;100885
457;UAL;United Continental Holdings;reports;Industrials;Chicago, Illinois;100517
458;UNH;United Health Group Inc.;reports;Health Care;Minnetonka, Minnesota;731766
459;UPS;United Parcel Service;reports;Industrials;Atlanta, Georgia;1090727
460;URI;United Rentals, Inc.;reports;Industrials;Stamford, Connecticut;1067701
461;UTX;United Technologies;reports;Industrials;Hartford, Connecticut;101829
462;UHS;Universal Health Services, Inc.;reports;Health Care;King of Prussia, Pennsylvania;352915
463;UNM;Unum Group;reports;Financials;Chattanooga, Tennessee;5513
464;URBN;Urban Outfitters;reports;Consumer Discretionary;Philadelphia, Pennsylvania;912615
465;VFC;V.F. Corp.;reports;Consumer Discretionary;Greensboro, North Carolina;103379
466;VLO;Valero Energy;reports;Energy;San Antonio, Texas;1035002
467;VAR;Varian Medical Systems;reports;Health Care;Palo Alto, California;203527
468;VTR;Ventas Inc;reports;Financials;Chicago, Illinois;740260
469;VRSN;Verisign Inc.;reports;Information Technology;Dulles, Virginia;1014473
470;VRSK;Verisk Analytics;reports;Industrials;Jersey City, New Jersey;1442145
471;VZ;Verizon Communications;reports;Telecommunications Services;New York, New York;732712
472;VRTX;Vertex Pharmaceuticals Inc;reports;Health Care;Cambridge, Massachusetts;875320
473;VIAB;Viacom Inc.;reports;Consumer Discretionary;New York, New York;1339947
474;V;Visa Inc.;reports;Information Technology;San Francisco, California;1403161
475;VNO;Vornado Realty Trust;reports;Financials;New York, New York;899689
476;VMC;Vulcan Materials;reports;Materials;Birmingham, Alabama;1396009
477;WMT;Wal-Mart Stores;reports;Consumer Staples;Bentonville, Arkansas;104169
478;WBA;Walgreens Boots Alliance;reports;Consumer Staples;Deerfield, Illinois;1618921
479;DIS;The Walt Disney Company;reports;Consumer Discretionary;Burbank, California;1001039
480;WM;Waste Management Inc.;reports;Industrials;Houston, Texas;823768
481;WAT;Waters Corporation;reports;Health Care;Milford, Massachusetts;1000697
482;WFC;Wells Fargo;reports;Financials;San Francisco, California;72971
483;HCN;Welltower Inc.;reports;Financials;Toledo, Ohio;766704
484;WDC;Western Digital;reports;Information Technology;Irvine, California;106040
485;WU;Western Union Co;reports;Information Technology;Englewood, Colorado;1365135
486;WRK;Westrock Co;reports;Materials;Richmond, Virginia;1636023
487;WY;Weyerhaeuser Corp.;reports;Financials;Federal Way, Washington;106535
488;WHR;Whirlpool Corp.;reports;Consumer Discretionary;Benton Harbor, Michigan;106640
489;WFM;Whole Foods Market;reports;Consumer Staples;Austin, Texas;865436
490;WMB;Williams Cos.;reports;Energy;Tulsa, Oklahoma;107263
491;WLTW;Willis Towers Watson;reports;Financials;London, United Kingdom;1140536
492;WEC;Wisconsin Energy Corporation;reports;Utilities;Milwaukee, Wisconsin;783325
493;WYN;Wyndham Worldwide;reports;Consumer Discretionary;Parsippany, New Jersey;1361658
494;WYNN;Wynn Resorts Ltd;reports;Consumer Discretionary;Las Vegas, Nevada;1174922
495;XEL;Xcel Energy Inc;reports;Utilities;Minneapolis, Minnesota;72903
496;XRX;Xerox Corp.;reports;Information Technology;Norwalk, Connecticut;108772
497;XLNX;Xilinx Inc;reports;Information Technology;San Jose, California;743988
498;XL;XL Capital;reports;Financials;Hamilton, Bermuda;875159
499;XYL;Xylem Inc.;reports;Industrials;White Plains, New York;1524472
500;YHOO;Yahoo Inc.;reports;Information Technology;Sunnyvale, California;1011006
501;YUM;Yum! Brands Inc;reports;Consumer Discretionary;Louisville, Kentucky;1041061
502;ZBH;Zimmer Biomet Holdings;reports;Health Care;Warsaw, Indiana;1136869
503;ZION;Zions Bancorp;reports;Financials;Salt Lake City, Utah;109380
504;ZTS;Zoetis;reports;Health Care;Florham Park, New Jersey;1555280
