name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
Lam Research,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",$62.41 B,"16,300",USA,,,,Tim Archer,1980,,$457.67,,LRCX,,$16.7B
Aon,Insurance,$63.45 B,"50,000",UK,,,,Gregory C. Case,1982,,$306.78,,AON,,$12.2B
Equinix,Diversified Financials,$63.98 B,"10,944",USA,,,,Charles J. Meyers,1998,,$691.47,,EQIX,,$6.6B
Boston Scientific,Health Care Equipment & Services,$66.74 B,41.000,USA,,,,Michael F. Mahoney,1979,,$46.60,,BSX,,$12.56 B
Fiserv,Business Services & Supplies,$66.97 B,44.000,USA,,,,Frank J. Bisignano,1984,,$105.46,,FISV,,$17.36 B
Humana,Drugs & Biotechnology,$69.22 B,"96,900",USA,,,,Bruce D. Broussard,1961,,$546.78,,HUM,,$84.1B
Sempra Energy,Utilities—Diversified,$52.15 B,"15,390",USA,"San Diego, CA, United States",,Utilities,Mr. Jeffrey Walker Martin,1998,,$165.93,,SRE,,US$11.370 billion (Fiscal Year Ended 2020)
Palo Alto Networks,Technology Hardware & Equipment,$52.21 B,12.561,USA,,,,Nikesh Arora,2005,,$172.69,,PANW,,$5.81 B
Marriott International,Travel & Leisure,$52.42 B,"97,000",USA,,,,Anthony Capuano,1927,,$165.63,,MAR,,$13.9B
Synopsys,IT Software & Services,$53.23 B,16.361,USA,,,,Dr. Aart de Geus,1986,,$348.17,,SNPS,,$4.94 B
Anglo American,Materials,$54.20 B,"63,698",UK,,,,Duncan Graham Wanblad,1917,,$40.53,,AAL.L,,$41.5B
Monster Beverage,"Food, Drink & Tobacco",$54.28 B,3.458,USA,,,,Rodney Cyril Sacks,1985,,$104.04,,MNST,,$6.22 B
Keurig Dr Pepper,"Food, Drink & Tobacco",$54.86 B,"27,500",USA,,,,Robert James Gamgort,2018,,$38.74,,KDP,,$12.7B
Dollar General,Retailing,$55.03 B,"163,000",USA,,,,Todd Vasos,1939,,$243.96,,DG,,$34.2B
Moody's,Business Services & Supplies,$55.27 B,"13,460",USA,,,,Robert Scott Fauber,1909,,$301.73,,MCO,,$6.2B
Marathon Petroleum,Oil & Gas Operations,$55.40 B,"17,700",USA,,,,Michael J. Hennigan,2009,,$118.23,,MPC,,$119.8B
General Motors,Automotive (Automotive and Suppliers),$56.68 B,"94,448",USA,,,,Mary T. Barra,1908,,$39.90,,GM,,$127B
Pioneer Natural Resources,Oil & Gas Operations,$56.88 B,"1,932",USA,,,,Scott Douglas Sheffield,1997,,$239.41,,PXD,,$17.9B
Public Storage,REIT—Industrial,$52.09 B,5.800,USA,"Glendale, CA, United States",,Real Estate,Joseph D. Russell Jr.,1972,,$295.80,,PSA,,$4.01 B
American International Group,Insurance,$46.62 B,"36,600",USA,,,,Peter S. Zaffino,1919,,$62.75,,AIG,,$52.1B
Cintas,Business Services & Supplies,$46.96 B,43.000,USA,,,,Scott D. Farmer,1968,,$462.53,,CTAS,,$6.41 B
Roper Technologies,Conglomerates,$47.07 B,"19,300",USA,,,,Laurence Neil Hunn,1981,,$443.87,,ROP,,$6.1B
Edwards Lifesciences,Drugs & Biotechnology,$47.32 B,"16,000",USA,,,,Michael A. Mussallem,1958,,$76.55,,EW,,$5.2B
Snowflake,IT Software & Services,$47.91 B,4.991,USA,,,,Frank Slootman,2012,,$149.74,,SNOW,,$1.63 B
Corteva,Chemicals,$48.09 B,21.000,USA,,,,Chuck Magro,2019,,$67.31,,CTVA,,$17.10 B
Amphenol,Technology Hardware & Equipment,$47.97 B,"90,000",USA,,,,Richard Adam Norwitt,1932,,$80.62,,APH,,$10.9B
Constellation Brands,"Food, Drink & Tobacco",$48.15 B,"10,000",USA,,,,William A. Newlands Jr.,1945,,$261.05,,STZ,,$8.8B
The Hershey Company,Confectioners,$48.13 B,16.620,USA,"Hershey, PA, United States",,Consumer Staples,Michele Buck,1894,,$234.73,,HSY,,$10.09 B
Centene,Drugs & Biotechnology,$48.57 B,"72,500",USA,,,,Sarah London,1984,,$85.79,,CNC,,$126B
Valero Energy,Oil & Gas Operations,$48.98 B,"9,813",USA,,,,Joseph W. Gorder,1980,,$127.07,,VLO,,$114B
Phillips 66,Oil & Gas Refining & Marketing,$50.41 B,14.000,USA,"Houston, TX, United States",,Energy,Greg C. Garland,2012,,$106.66,,PSX,,$162.31 B
Dominion Energy,Utilities,$50.38 B,"17,100",USA,,,,Robert M. Blue,1983,,$60.47,,D,,$14B
General Mills,"Food, Soft Beverages, Alcohol & Tobacco",$51.35 B,"15,000",USA,,,,Jeffrey L. Harmening,1866,,$86.52,,GIS,,$18.6B
Biogen,Drugs & Biotechnology,$43.04 B,"9,610",USA,,,,Michel Vounatsos,1978,,$298.90,,BIIB,,$10.4B
Ecolab,Business Services & Supplies,$43.11 B,"47,000",USA,,,,Christophe Beck,1923,,$151.36,,ECL,,$12.7B
Sysco,Food Markets,$43.24 B,"58,000",USA,,,,Kevin P. Hourican,1969,,$85.33,,SYY,,$60.7B
Cheniere Energy,Oil & Gas Operations,$28.80 B,"1,550",USA,,,,Jack A. Fusco,1983,,$59.51,,LNG,,$17.6B
Autodesk,"IT, Internet, Software & Services",$43.41 B,12.600,USA,,,,Andrew Anagnost,1982,,$201.11,,ADSK,,$4.63 B
Workday,IT Software & Services,$43.77 B,16.918,USA,,,,Aneel Bhuri,2005,,$170.99,,WDAY,,$5.67 B
Hess,Oil & Gas Operations,$44.40 B,"1,545",USA,,,,John B. Hess,1920,,$144.02,,HES,,$7.7B
Republic Services,Business Services & Supplies,$44.40 B,35.000,USA,,,,Jon Vander Ark,1998,,$140.52,,RSG,,$12.41 B
Chipotle Mexican Grill,"Hotels, Restaurants & Leisure",$44.48 B,"97,660",USA,,,,Brian R. Niccol,1993,,"$1,605",,CMG,,$7.5B
Simon Property Group,Diversified Financials,$44.66 B,"3,300",USA,,,,David E. Simon,1993,,$119.34,,SPG,,$5.1B
Aflac,Insurance,$44.98 B,"12,447",USA,,,,Daniel P. Amos,1955,,$72.34,,AFL,,$22.1B
Devon Energy,Oil & Gas Operations,$44.75 B,"1,600",USA,,,,Rick Muncrief,1971,,$68.46,,DVN,,$13.7B
Paychex,Business Services & Supplies,$45.40 B,16.000,USA,,,,Martin Mucci,1971,,$125.98,,PAYX,,$4.67 B
Motorola Solutions,Aerospace & Defense,$45.59 B,18.700,USA,,,,Gregory Q. Brown,2011,,$272.70,,MSI,,$8.72 B
Agilent Technologies,Health Care Equipment & Services,$45.92 B,"16,000",USA,,,,Michael R. McMullen,1999,,$155.67,,A,,$6.4B
National Grid,Utilities,$46.33 B,"23,683",UK,,,,John Mark Pettigrew,1990,,$62.46,,NGG,,$20.8B
Microchip Technology,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",$42.52 B,"21,000",USA,,,,Ganesh Moorthy,1989,,$77.31,,MCHP,,$6.4B
Kinder Morgan,"Construction, Oil & Gas Operations, Mining and Chemicals",$42.70 B,"11,000",USA,,,,Steven J. Kean,1997,,$19.00,,KMI,,$16.6B
Capital One,Banking and Financial Services,$37.28 B,"50,767",USA,,,,Richard D. Fairbank ,1994,,$97.69,,COF,,$32.1B
Waste Connections,Business Services & Supplies,$37.40 B,"19,998",USA,,,,Worthing F. Jackman,2002,,$145.45,,WCN,,$6.2B
Xcel Energy,Utilities,$37.83 B,"11,321",USA,,,,Robert Frenzel,1909,,$69.14,,XEL,,$13.4B
Realty Income,Diversified Financials,$39.44 B,371,USA,,,,Sumit Roy,1969,,$62.90,,O,,$2.1B
Lloyds Banking Group,Banking,$39.28 B,"57,955",UK,,,,Charlie Nunn,2009,,$2.27,,LYG,,$58.5B
Prudential Financial,Banking and Financial Services,$39.62 B,"15,364",USA,,,,Charles F. Lowrey,1875,,$107.68,,PRU,,$70.9B
Nucor,Materials,$39.55 B,"28,800",USA,,,,Leon J. Topalian,1905,,$154.20,,NUE,,$40B
Compass Group,"Hotels, Restaurants & Leisure",$40.50 B,"478,070",UK,,,,Dominic Blakemore,1994,,$23.06,,CPG.L,,$24.5B
Block,IT Software & Services,$40.77 B,"8,521",USA,,,,Jack Patrick Dorsey,2009,,$68.18,,SQ,,$17.7B
Apollo Global Management,Diversified Financials,$40.95 B,"1,509",USA,,,,Marc Jeffrey Rowan,1990,,$68.25,,APO,,$4.8B
Exelon Corporation,Utilities—Diversified,$41.19 B,"31,518",USA,"Chicago, IL, United States",,Utilities,Mr. Christopher Mark Crane,"October 20, 2000",,$41.45,,EXC,,US$33.039 Billion (Fiscal Year Ended 31 December 2020)
Ross Stores,Retailing,$41.30 B,100.000,USA,,,,Barbara Rentler,1982,,$119.00,,ROST,,$18.50 B
Arista Networks,Technology Hardware & Equipment,$41.49 B,"2,993",USA,,,,Jayshree V. Ullal,2004,,$135.04,,ANET,,$2.9B
Arthur J. Gallagher & Co.,Insurance Brokers,$42.43 B,"39,000",USA,"Rolling Meadows, IL, United States",,Financials,Mr. J. Patrick Gallagher Jr.,1927,,$201.26,,AJG,,"US$7.003 Billion (Fiscal Year Ended December 31, 2020)"
Fortinet,Technology Hardware & Equipment,$41.88 B,"10,195",USA,,,,Ken Xie,2000,,$53.61,,FTNT,,$3.3B
Allstate,Insurance,$34.70 B,"54,700",USA,,,,Thomas Joseph Wilson II,1931,,$130.85,,ALL,,$50.6B
Consolidated Edison,Utilities,$34.54 B,"13,871",USA,,,,Timothy P. Cawley,1823,,$97.35,,ED,,$13.7B
Prudential,Banking and Financial Services,$34.83 B,"14,486",UK,,,,Mark Thomas FitzPatrick,1848,,$25.34,,PUK,,$26.5B
Ameriprise Financial,Diversified Financials,$35.13 B,"12,000",USA,,,,James Michael Cracchiolo,1894,,$330.18,,AMP,,$13.9B
Cummins,"Engineering, Manufacturing",$35.22 B,"58,000",USA,,,,Tom Linebarger,1919,,$249.75,,CMI,,$24B
Halliburton,Oil & Gas Operations,$35.29 B,"40,000",USA,,,,Jeff Miller,1919,,$38.87,,HAL,,$16.1B
Jardine Matheson,Conglomerates,$35.24 B,"400,000",Hong Kong,,,,John Raymond Witt,1832,,$48.88,,J36.SI,,$35.9B
Dow,"Construction, Oil & Gas Operations, Mining and Chemicals",$36.27 B,"35,700",USA,,,,Jim Fitterling,1897,,$51.55,,DOW,,$58.4B
Yum! Brands,"Hotels, Restaurants & Leisure",$36.52 B,"36,000",USA,,,,David W. Gibbs,1997,,$129.68,,YUM,,$6.6B
Electronic Arts,Consumer Durables,$36.51 B,"11,000",USA,,,,Andrew P. Wilson,1982,,$132.28,,EA,,$6.6B
Las Vegas Sands,"Hotels, Restaurants & Leisure",$36.64 B,"44,700",USA,,,,Robert Glen Goldstein,1988,,$47.96,,LVS,,$4.2B
Paccar,Automotive (Automotive and Suppliers),$36.79 B,28.500,USA,,,,Preston Feight,1972,,$105.79,,PCAR,,$27.37 B
Vodafone,"Telecommunications Services, Cable Supplier",$31.35 B,"104,000",UK,,,,Nicholas Jonathan Read,1984,,$11.25,,VOD,,$53.6B
Copart,Business Services & Supplies,$31.98 B,"8,600",USA,,,,Aaron Jayson Adair,1982,,$67.15,,CPRT,,$3.2B
Digital Realty,,$32.56 B,3.03,USA,,,,,,,$110.85,,DLR,,$4.56 B
Interactive Brokers,,$32.80 B,2.571,USA,,,,,,,$78.71,,IBKR,,$3.43 B
Ametek,Conglomerates,$33.15 B,"18,500",USA,,,,David A. Zapico,1930,,$144.39,,AME,,$5.5B
Albemarle,Chemicals,$33.30 B,"6,000",USA,,,,Jerry Kent Masters,1993,,$284.28,,ALB,,$3.3B
Otis Worldwide,"Engineering, Manufacturing",$33.22 B,"70,000",USA,,,,Judith F. Marks,1853,,$79.75,,OTIS,,$14.3B
Dollar Tree,Retailing,$33.44 B,"210,565",USA,,,,Michael A. Witynski,1986,,$151.20,,DLTR,,$26.3B
Old Dominion Freight Line,Transportation,$33.45 B,"23,663",USA,,,,Greg C. Gantt,1934,,$302.85,,ODFL,,$5.3B
Haleon,,$33.44 B,22.0,UK,,,,,,,$7.15,,HLN,,$8.55 B
Welltower,Diversified Financials,$33.58 B,464,USA,,,,Shankh Mitra,1970,,$71.08,,WELL,,$4.7B
Kroger,Food Markets,$34.05 B,"420,000",USA,,,,W. Rodney McMullen,1883,,$47.57,,KR,,$137.9B
Illumina,Drugs & Biotechnology,$34.41 B,"7,800",USA,,,,Francis A. deSouza,1998,,$218.76,,ILMN,,$4.5B
Fastenal,Trading Companies,$29.45 B,19.519,USA,,,,Daniel L. Florness,1967,,$51.43,,FAST,,$6.81 B
Oneok,Oil & Gas Operations,$30.03 B,"2,847",USA,,,,Pierce H. Norton II,1906,,$67.20,,OKE,,$17.3B
Constellation Energy,Utilities,$30.09 B,"11,696",USA,,,,Joseph Dominguez,Not found,,$92.04,,CEG,,$19.6B
Rockwell Automation,Capital Goods,$30.48 B,"24,500",USA,,,,Blake Moret,1903,,$265.49,,ROK,,$7.3B
Barclays,Banking and Financial Services,$30.99 B,"83,500",UK,,,,C. S. Venkatakrishnan,1896,,$7.82,,BCS,,$30.2B
Verisk Analytics,Insurance,$29.00 B,9.367,USA,,,,Scott G. Stephenson,1971,,$185.44,,VRSK,,$3.03 B
Eversource Energy,Utilities—Regulated Electric,$29.15 B,9.227,USA,"Springfield, MA, United States",,Utilities,James J. Judge,1996,,$83.71,,ES,,$11.73 B
Genuine Parts Company,Specialty Retail,$26.43 B,"52,000",USA,"Atlanta, GA, United States",,Consumer Discretionary,Mr. Paul D. Donahue,1925,,$187.28,,GPC,,
Ashtead,,$27.13 B,22.807,UK,,,,,,,$61.60,,0LC.F,,$8.87 B
Veeva Systems,IT Software & Services,$27.15 B,"5,482",USA,,,,Peter P. Gassner,2007,,$174.90,,VEEV,,$1.9B
International Flavors & Fragrances,Household & Personal Products,$27.52 B,"24,000",USA,,,,Franklin K. Clyburn,1833,,$107.97,,IFF,,$11.7B
Rivian,Automotive,$27.70 B,"10,422",USA,,,,Robert Joseph Scaringe,2009,,$31.36,,RIVN,,$55M
Gartner,Business Services & Supplies,$27.81 B,"16,600",USA,,,,Eugene A. Hall,1979,,$351.99,,IT,,$4.7B
Warner Bros. Discovery,Media,$27.80 B,"11,000",USA,,,,David M. Zaslav,2022,,$11.55,,WBD,,$12.2B
Global Payments,Business Services & Supplies,$27.87 B,"25,000",USA,,,,Jeffrey Steven Sloan,2000,,$103.08,,GPN,,$8.5B
American Water Works,Utilities,$27.95 B,"6,400",USA,,,,M. Susan Hardwick,1886,,$153.74,,AWK,,$3.9B
State Street Corporation,Asset Management,$28.51 B,"38,784",USA,"Boston, MA, United States",,Financials,Mr. Ronald Philip O'Hanley,1792,,$77.72,,STT,,US$12.03 billion (2021)
Corning,"Engineering, Manufacturing",$28.75 B,"61,000",USA,,,,Wendell P. Weeks,1851,,$34.00,,GLW,,$14.1B
Discover Financial Services,Credit Services,$28.79 B,"16,700",USA,"Riverwoods, IL, United States",,Financials,Roger C. Hochschild,1985,,$105.40,,DFS,,$12.8B
Edison International,Utilities—Regulated Electric,$24.96 B,"13,003",USA,"Rosemead, CA, United States",,Utilities,Pedro J. Pizarro,1886,,$65.37,,EIX,,$14.9B
Tractor Supply,Retailing,$24.84 B,50.000,USA,,,,Harry A. Lawton III,1938,,$224.94,,TSCO,,$13.51 B
Lennar,Construction,$25.14 B,"10,753",USA,,,,Rick Beckwitt Jon Jaffe,1954,,$88.30,,LEN,,$28.4B
