,name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
1069,ORACLE CORPORATION,,249.740 Billion USD,,USA,,,,Larry Ellison,,,,,,,
1070,SAP SE,,178.440 Billion USD,,Germany,,,,Hasso Plattner,,,,,,,
1071,TORONTO-DOMINION BANK,,118.220 Billion USD,,Canada,,,,Brian M. Levitt,,,,,,,
1072,PETROCHINA COMPANY,,128.700 Billion USD,,China,,,,Dai Houliang,,,,,,,
1073,CHRISTIAN DIOR,,139.230 Billion USD,,France,,,,Pietro Beccari,,,,,,,
1074,AGRICULTURAL BANK OF CHINA,,160.550 Billion USD,,China,,,,Gu Shu,,,,,,,
1075,INTUIT,,154.690 Billion USD,,USA,,,,Suzanne Nora Johnson,,,,,,,
1076,MEITUAN DIANPING,,201.890 Billion USD,,China,,,,Wang Xing,,,,,,,
1077,ROYAL BANK OF CANADA,,146.400 Billion USD,,Canada,,,,David I. McKay,,,,,,,
1078,ADVANCED MICRO DEVICES (AMD),,134.300 Billion USD,,USA,,,,Hector de J. Ruiz,,,,,,,
1079,SONY CORPORATION,,129.060 Billion USD,,Japan,,,,Kenichiro Yoshida,,,,,,,
1080,PHILIP MORRIS INTERNATIONAL,,160.530 Billion USD,,USA,,,,Jacek Olczak,,,,,,,
1081,PING AN INSURANCE (GROUP) COMPANY OF CHINA,,145.860 Billion USD,,China,,,,Peter Ma,,,,,,,
1082,HONEYWELL INTERNATIONAL,,160.110 Billion USD,,USA,,,,,,,,,,,
1083,SHOPIFY,,190.100 Billion USD,,Canada,,,,Tobias Albin Lutke,,,,,,,
1084,KEYENCE CORPORATION,,148.070 Billion USD,,Japan,,,,Yu Nakata,,,,,,,
1085,MEDTRONIC,,179.590 Billion USD,,Ireland,,,,Geoff Martha,,,,,,,
1086,BRISTOL-MYERS SQUIBB COMPANY,,148.570 Billion USD,,USA,,,,Dr. Caforio,,,,,,,
1087,SIEMENS,,131.560 Billion USD,,Germany,,,,,,,,,,,
1088,TOTALENERGIES SE,,117.070 Billion USD,,France,,,,,,,,,,,
1089,CVS HEALTH CORPORATION,,114.000 Billion USD,,USA,,,,David W. Dorman,,,,,,,
1090,NOVO NORDISK A/S,,229.040 Billion USD,,Denmark,,,,Helge Lund,,,,,,,
1091,COMCAST CORPORATION,,278.500 Billion USD,,USA,,,,Brian L. Roberts,,,,,,,
1092,VERIZON COMMUNICATIONS,,227.710 Billion USD,,USA,,,,Hans Vestberg,,,,,,,
1093,SALESFORCE.COM,,259.700 Billion USD,,USA,,,,Marc Benioff,,,,,,,
1094,RELIANCE INDUSTRIES,,214.910 Billion USD,,India,,,,,,,,,,,
1095,PAYPAL HOLDINGS,,339.180 Billion USD,,USA,,,,John J. Donahoe,,,,,,,
1096,WELLS FARGO & COMPANY,,187.660 Billion USD,,USA,,,,Steven Black,,,,,,,
1097,INTEL CORPORATION,,219.320 Billion USD,,USA,,,,Patrick P. Gelsinger,,,,,,,
1098,DANAHER CORPORATION,,231.420 Billion USD,,USA,,,,Rainer M. Blair,,,,,,,
1099,MERCK & CO,,193.120 Billion USD,,USA,,,,Kenneth C. Frazier,,,,,,,
1100,UNILEVER GROUP,,145.300 Billion USD,,Netherlands,,,,,,,,,,,
1101,T-MOBILE US,,172.090 Billion USD,,USA,,,,Timotheus Hottges,,,,,,,
1102,BANK OF CHINA,,129.970 Billion USD,,China,,,,Liu Liange,,,,,,,
1103,BLACKROCK,,144.120 Billion USD,,USA,,,,Laurence D,,,,,,,
1104,SCHWARZ GROUP,,103,,Germany,,,,,,,,,,,
1105,RAYTHEON TECHNOLOGIES CORPORATION,,127.810 Billion USD,,USA,,,,Gregory J. Hayes,,,,,,,
1106,AMERICAN EXPRESS COMPANY,,131.840 Billion USD,,USA,,,,Stephen J. Squeri,,,,,,,
1107,VOLKSWAGEN,,147.140 Billion USD,,Germany,,,,,,,,,,,
1108,APPLIED MATERIALS,,122.010 Billion USD,,USA,,,,Thomas J. Iannotti,,,,,,,
1109,HSBC HOLDINGS,,108.530 Billion USD,,UK,,,,,,,,,,,
1110,THE GOLDMAN SACHS GROUP,,139.390 Billion USD,,USA,,,,David Solomon,,,,,,,
1111,WULIANGYE YIBIN,,120.940 Billion USD,,China,,,,Zeng Congqin,,,,,,,
1112,CITI GROUP,,145.750 Billion USD,,USA,,,,John C. Dugan,,,,,,,
1113,CHINA MOBILE,,127.770 Billion USD,,China,,,,Yang Jie,,,,,,,
1114,AMGEN,,128.070 Billion USD,,USA,,,,Robert A. Bradway,,,,,,,
1115,YOUTUBE,,113,,USA,,,,,,,,,,,
1116,ESTEE LAUDER COMPANIES,,123.020 Billion USD,,USA,,,,William P. Lauder,,,,,,,
1117,BOEING COMPANY,,128.660 Billion USD,,USA,,,,,,,,,,,
1118,SANOFI,,130.900 Billion USD,,France,,,,,,,,,,,
1119,STARBUCKS CORPORATION,,138.530 Billion USD,,USA,,,,Howard Schultz,,,,,,,
1120,COMMONWEALTH BANK OF AUSTRALIA,,132.470 Billion USD,,Australia,,,,,,,,,,,
1121,AIA GROUP,,147.550 Billion USD,,Hong Kong,,,,Lee Yuan Siong,,,,,,,
1122,DIAGEO,,112.110 Billion USD,,UK,,,,,,,,,,,
1123,AMERICAN TOWER CORPORATION (REIT),,133.740 Billion USD,,USA,,,,James D. Taiclet Jr.,,,,,,,
1124,CATERPILLAR,,115.440 Billion USD,,USA,,,,Jim Umpleby,,,,,,,
1125,IBM,,125.790 Billion USD,,USA,,,,,,,,,,,
1126,RIO TINTO GROUP,,121.550 Billion USD,,UK,,,,,,,,,,,
1127,DEERE & COMPANY,,118.130 Billion USD,,USA,,,,John C. May,,,,,,,
1128,INTUITIVE SURGICAL,,125.360 Billion USD,,USA,,,,Craig H. Barratt ,,,,,,,
1129,HDFC BANK,,121.600 Billion USD,,India,,,,,,,,,,,
1130,PROLOGIS,,99.902 Billion USD,,USA,,,,Hamid Moghadam,,,,,,,
1131,SERVICENOW,,127.500 Billion USD,,USA,,,,Fred Luddy,,,,,,,
1132,GENERAL ELECTRIC COMPANY,,115.700 Billion USD,,USA,,,,,,,,,,,
1133,TARGET CORPORATION,,120.540 Billion USD,,USA,,,,Navneet Kapoor,,,,,,,
1134,GLAXOSMITHKLINE,,102.500 Billion USD,,UK,,,,,,,,,,,
1135,CHINA LIFE INSURANCE COMPANY,,105.170 Billion USD,,China,,,,Yang Mingsheng,,,,,,,
1136,ANHEUSER-BUSCH INBEV,,123.700 Billion USD,,Belgium,,,,,,,,,,,
1137,CHARTER COMMUNICATIONS,,150.120 Billion USD,,USA,,,,Thomas M. Rutledge,,,,,,,
1138,GAZPROM,,102.610 Billion USD,,Russia,,,,Viktor Zubkov,,,,,,,
1139,S&P GLOBAL,,106.960 Billion USD,,USA,,,,Richard E. Thornburgh,,,,,,,
1140,SCHNEIDER ELECTRIC,,100.250 Billion USD,,France,,,,,,,,,,,
1141,INGRAM MICRO,,139,,USA,,,,,,,,,,,
1142,VANGUARD GROUP,,,,USA,,,,Tim Buckley,,,,,,,
1143,CONOCOPHILLIPS COMPANY,,74.359 Billion USD,,USA,,,,Ryan Lance,,,,,,,
1144,JD.COM,,122.680 Billion USD,,China,,,,Richard Qiangdong Liu,,,,,,,
1145,MICRON TECHNOLOGY,,82.968 Billion USD,,USA,,,,Robert E. Switz,,,,,,,
1146,ANTHEM,,91.462 Billion USD,,USA,,,,Elizabeth E. Tallett,,,,,,,
1147,AIRBNB,,97.433 Billion USD,,USA,,,,Brian Chesky,,,,,,,
1148,AIRBUS,,108.800 Billion USD,,Netherlands,,,,,,,,,,,
1149,KOCH INDUSTRIES,,145,,USA,,,,Charles G. Koch,,,,,,,
1150,BYTEDANCE,,145,,China,,,,Zhang Yiming,,,,,,,
1151,SEA LIMITED,,181.990 Billion USD,,Singapore,,,,Forrest Li,,,,,,,
1152,3M COMPANY,,112.680 Billion USD,,USA,,,,Mike Roman,,,,,,,
1153,ALLIANZ SE,,97.559 Billion USD,,Germany,,,,,,,,,,,
1154,INFOSYS,,101.040 Billion USD,,India,,,,,,,,,,,
1155,MERCK KGAA O.N.,,103.430 Billion USD,,Germany,,,,,,,,,,,
1156,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,,98.171 Billion USD,,Japan,,,,Satoshi Miura,,,,,,,
1157,NTT DOCOMO,,97.019 Billion USD,,Japan,,,,Motoyuki Ii,,,,,,,
1158,KERING,,101.460 Billion USD,,France,,,,,,,,,,,
1159,AUTOMATIC DATA PROCESSING (ADP),,88.441 Billion USD,,USA,,,,Arthur F. Weinbach,,,,,,,
1160,BOOKING HOLDINGS,,94.424 Billion USD,,USA,,,,Robert J. Mylod Jr,,,,,,,
1161,ZOETIS,,97.222 Billion USD,,USA,,,,JUAN RAMÓN ALAIX,,,,,,,
1162,STRYKER CORPORATION,,104.490 Billion USD,,USA,,,,Kevin A. Lobo,,,,,,,
1163,LOCKHEED MARTIN CORPORATION,,100.260 Billion USD,,USA,,,,Marillyn Hewson,,,,,,,
1164,INDITEX (INDUSTRIA DE DISENO TEXTIL),,106.260 Billion USD,,Spain,,,,Marta Ortega,,,,,,,
1165,FORD MOTOR COMPANY,,52.052 Billion USD,,USA,,,,William Clay Ford Jr.,,,,,,,
1166,BP P.L.C.,,83.106 Billion USD,,UK,,,,,,,,,,,
1167,CSL,,104.100 Billion USD,,Australia,,,,,,,,,,,
1168,AL RAJHI BANKING AND INVESTMENT CORPORATION,,81.675 Billion USD,,Saudi Arabia,,,,Abdullah bin Sulaiman,,,,,,,
1169,ROBERT BOSCH,,163,,Germany,,,,Stefan Hartung,,,,,,,
1170,THE PNC FINANCIAL SERVICES GROUP,,81.216 Billion USD,,USA,,,,Jim Rohr,,,,,,,
1171,SAUDI BASIC INDUSTRIES CORPORATION (SABIC),,99.468 Billion USD,,Saudi Arabia,,,,Abdulaziz Saleh Aljarbou,,,,,,,
1172,LAM RESEARCH CORPORATION,,85.857 Billion USD,,USA,,,,Abhijit Y. Talwalkar,,,,,,,
1173,MONDELEZ INTERNATIONAL,,86.888 Billion USD,,USA,,,,Dirk Van de Put,,,,,,,
1174,BYD COMPANY,,111.350 Billion USD,,China,,,,Wang Chuanfu,,,,,,,
1175,DEUTSCHE TELEKOM AG,,100.940 Billion USD,,Germany,,,,,,,,,,,
1176,SNOWFLAKE,,90.118 Billion USD,,USA,,,,Frank Slootman,,,,,,,
1177,ALTRIA GROUP,,92.628 Billion USD,,USA,,,,Mr. Farrell,,,,,,,
1178,AUDI AG,,82.150 Billion USD,,Germany,,,,,,,,,,,
1179,DELOITTE,,171,,UK,,,,Punit Renjen,,,,,,,
1180,BNP PARIBAS,,81.165 Billion USD,,France,,,,,,,,,,,
1181,U.S. BANCORP,,85.088 Billion USD,,USA,,,,Andrew Cecere,,,,,,,
1182,GENERAL MOTORS COMPANY,,71.149 Billion USD,,USA,,,,Mary Barra,,,,,,,
1183,CARGILL,,174,,USA,,,,,,,,,,,
1184,RECRUIT HOLDINGS,,96.041 Billion USD,,Japan,,,,Masumi Minegishi,,,,,,,
1185,BROOKFIELD ASSET MANAGEMENT,,87.110 Billion USD,,Canada,,,,Frank McKenna,,,,,,,
1186,EQUINOR ASA,,69.062 Billion USD,,Norway,,,,Marit Arnstad,,,,,,,
1187,BRITISH AMERICAN TOBACCO,,86.485 Billion USD,,UK,,,,,,,,,,,
1188,MERCEDEC BENZ GROUP AG,,89.843 Billion USD,,Germany,,,,,,,,,,,
1189,GILEAD SCIENCES,,91.252 Billion USD,,USA,,,,Daniel ODay,,,,,,,
1190,ESSILOR LUXOTTICA,,87.399 Billion USD,,France,,,,,,,,,,,
1191,THE TJX COMPANIES,,87.449 Billion USD,,USA,,,,Ernie Herrman,,,,,,,
1192,ANALOG DEVICES,,87.571 Billion USD,,USA,,,,Vincent Roche,,,,,,,
1193,BANK OF NOVA SCOTIA,,75.020 Billion USD,,Canada,,,,Brian J. Porter,,,,,,,
1194,TOKYO ELECTRON LIMITED,,67.213 Billion USD,,Japan,,,,Tetsuo Tsuneishi,,,,,,,
1195,CANADIAN NATIONAL RAILWAY COMPANY,,83.116 Billion USD,,Canada,,,,Robert Pace,,,,,,,
1196,TRUIST FINANCIAL CORPORATION,,76.165 Billion USD,,USA,,,,William H. “Bill” Rogers Jr,,,,,,,
1197,MODERNA,,152.050 Billion USD,,USA,,,,Stephane Bancel,,,,,,,
1198,CHUBB,,80.693 Billion USD,,Switzerland,,,,Evan G. Greenberg,,,,,,,
1199,SWATCH GROUP AG,,72.635 Billion USD,,Switzerland,,,,Nayla Hayek,,,,,,,
1200,MIDEA GROUP,,72.414 Billion USD,,China,,,,Fang Hongbo,,,,,,,
1201,SHERWIN-WILLIAMS COMPANY,,79.957 Billion USD,,USA,,,,John G. Morikis,,,,,,,
1202,PRICEWATERHOUSECOOPERS,,193,,UK,,,,Sanjeev Krishan,,,,,,,
1203,COMPAGNIE FINANCIERE RICHEMONT SA,,62.283 Billion USD,,Switzerland,,,,Jerome Lambert,,,,,,,
1204,AIR LIQUIDE,,84.795 Billion USD,,France,,,,,,,,,,,
1205,CROWN CASTLE INTERNATIONAL CORPORATION,,84.373 Billion USD,,USA,,,,Landis Martin,,,,,,,
1206,SBERBANK OF RUSSIA,,101.810 Billion USD,,Russia,,,,Sergey Ignatiev,,,,,,,
1207,CSX CORPORATION,,73.339 Billion USD,,USA,,,,Michael J. Ward,,,,,,,
1208,BLACKSTONE GROUP,,89.938 Billion USD,,USA,,,,Stephen A. Schwarzman,,,,,,,
1209,ALLERGAN,,200,,Ireland,,,,Brenton L. Saunders,,,,,,,
1210,MARSH & MCLENNAN COMPANIES,,79.642 Billion USD,,USA,,,,,,,,,,,
1211,PUBLIX,,200,,USA,,,,Ed Crenshaw,,,,,,,
1212,ENBRIDGE,,79.749 Billion USD,,Canada,,,,Al Monaco,,,,,,,
1213,SOFTBANK GROUP,,111.870 Billion USD,,Japan,,,,Masayoshi Son,,,,,,,
1214,SIEMENS HEALTHINEERS AG,,78.575 Billion USD,,Germany,,,,,,,,,,,
1215,CME GROUP,,72.445 Billion USD,,USA,,,,Terrence A. Duffy,,,,,,,
1216,UBER TECHNOLOGIES,,73.753 Billion USD,,USA,,,,Ronald Sugar,,,,,,,
1217,DUKE ENERGY CORPORATION,,80.519 Billion USD,,USA,,,,"James E. Rogers, Jr.",,,,,,,
1218,NATIONAL COMMERCIAL BANK,,73.057 Billion USD,,Saudi Arabia,,,,Michael Lee-Chin,,,,,,,
1219,LIFE INSURANCE CORPORATION OF INDIA,,,,India,,,,,,,,,,,
1220,ENEL,,93.913 Billion USD,,Italy,,,,Michele Crisostomo,,,,,,,
1221,PSBC (POSTAL SAVINGS BANK OF CHINA),,73.135 Billion USD,,China,,,,Lv Jiajin,,,,,,,
1222,CHINA YANGTZE POWER,,67.612 Billion USD,,China,,,,Ming Shan Lei,,,,,,,
1223,MITSUBISHI UFJ FINANCIAL GROUP,,70.953 Billion USD,,Japan,,,,Hironori Kamezawa,,,,,,,
1224,DEUTSCHE POST AG,,86.161 Billion USD,,Germany,,,,,,,,,,,
1225,RELIANCE JIO,,,,India,,,,,,,,,,,
1226,HCA HEALTHCARE,,80.990 Billion USD,,USA,,,,Thomas Frist III,,,,,,,
1227,ATLAS COPCO AB,,81.730 Billion USD,,Sweden,,,,Mats Rahmstrom,,,,,,,
1228,CHINA PETROLEUM & CHEMICAL CORPORATION (SINOPEC),,74.987 Billion USD,,China,,,,Dai Houliang,,,,,,,
1229,INVESTOR AB (PUBL),,76.632 Billion USD,,Sweden,,,,Jacob Wallenberg,,,,,,,
1230,CIGNA CORPORATION,,71.984 Billion USD,,USA,,,,H Edward Hanway,,,,,,,
1231,ILLINOIS TOOL WORKS,,73.343 Billion USD,,USA,,,,E. Scott Santi,,,,,,,
1232,ATLASSIAN CORPORATION,,92.469 Billion USD,,Australia,,,,Shona Brown,,,,,,,
1233,EDWARDS LIFESCIENCES CORPORATION,,73.042 Billion USD,,USA,,,,Michael A Mussallem,,,,,,,
1234,HINDUSTAN UNILEVER,,89.838 Billion USD,,India,,,,,,,,,,,
1235,RIVIAN AUTOMOTIVE INC,,"2,707",,USA,,,,Robert Joseph Scaringe,,,,,,,
1236,ABB,,74.202 Billion USD,,Switzerland,,,,Morten Wierod,,,,,,,
1237,ROSNEFT OIL COMPANY,,71.568 Billion USD,,Russia,,,,Gerhard Schroder,,,,,,,
1238,ADYEN,,95.554 Billion USD,,Netherlands,,,,,,,,,,,
1239,INTERCONTINENTAL EXCHANGE,,67.314 Billion USD,,USA,,,,Jeffrey C. Sprecher,,,,,,,
1240,AXA,,67.669 Billion USD,,France,,,,Antoine Gosset-Grainville,,,,,,,
1241,BANK OF MONTREAL,,64.522 Billion USD,,Canada,,,,George A Cope,,,,,,,
1242,ICICI BANK,,69.454 Billion USD,,India,,,,,,,,,,,
1243,HONG KONG EXCHANGES AND CLEARING (HKEX),,81.454 Billion USD,,Hong Kong,,,,Laura Cha,,,,,,,
1244,HANGZHOU HIKVISION DIGITAL TECHNOLOGY,,74.514 Billion USD,,China,,,,Chen Zongnian,,,,,,,
1245,SK HYNIX,,63.866 Billion USD,,South Korea,,,,Lee Seok-Hee,,,,,,,
1246,THE SOUTHERN COMPANY,,69.597 Billion USD,,USA,,,,David M. Ratcliffe,,,,,,,
1247,BECTON DICKINSON AND COMPANY,,72.286 Billion USD,,USA,,,,Edward J. Ludwig,,,,,,,
1248,NORFOLK SOUTHERN CORPORATION,,62.617 Billion USD,,USA,,,,Charles Moorman,,,,,,,
1249,FOSHAN HAITIAN FLAVOURING AND FOOD COMPANY,,58.797 Billion USD,,China,,,,Pang Kang,,,,,,,
1250,IBERDROLA,,78.478 Billion USD,,Spain,,,,Jose Ignacio Sanchez Galan,,,,,,,
1251,FISERV,,78.001 Billion USD,,USA,,,,Frank Bisignano,,,,,,,
1252,VALE SA,,95.523 Billion USD,,Brazil,,,,Jose Luciano Duarte Penido,,,,,,,
1253,FIDELITY NATIONAL INFORMATION SERVICES,,78.922 Billion USD,,USA,,,,Gary A. Norcross,,,,,,,
1254,SHIN-ETSU CHEMICAL,,69.588 Billion USD,,Japan,,,,Chihiro Kanagawa,,,,,,,
1255,DASSAULT SYSTEMES,,74.752 Billion USD,,France,,,,,,,,,,,
1256,COLGATE-PALMOLIVE COMPANY,,66.104 Billion USD,,USA,,,,Noel R. Wallace,,,,,,,
1257,GLENCORE,,60.237 Billion USD,,Switzerland,,,,,,,,,,,
1258,BAYERISCHE MOTOREN WERKE (BMW),,61.301 Billion USD,,Germany,,,,,,,,,,,
1259,CANADIAN PACIFIC RAILWAY,,45.872 Billion USD,,Canada,,,,Andrew Reardon,,,,,,,
1260,ERNST & YOUNG,,245,,UK,,,,,,,,,,,
1261,MARVELL TECHNOLOGY GROUP,,50.396 Billion USD,,Bermuda,,,,Rick Hill,,,,,,,
1262,PINDUODUO,,125.350 Billion USD,,China,,,,Colin Huang Zheng,,,,,,,
1263,FEDEX CORPORATION,,70.724 Billion USD,,USA,,,,Raj Subramaniam,,,,,,,
1264,EQUINIX,,76.000 Billion USD,,USA,,,,Peter Van Camp,,,,,,,
1265,NOVATEK,,73.220 Billion USD,,Russia,,,,,,,,,,,
1266,MOODY'S CORPORATION,,70.899 Billion USD,,USA,,,,Raymond W. McDaniel,,,,,,,
1267,"LUCID GROUP, INC.",,32.308 Billion USD,,USA,,,,Andrew Liveris,,,,,,,
1268,NATIONAL AUSTRALIA BANK,,69.046 Billion USD,,Australia,,,,,,,,,,,
1269,BASF SE,,70.978 Billion USD,,Germany,,,,,,,,,,,
1270,A.P. MOLLER - MAERSK A/S,,53.954 Billion USD,,Denmark,,,,Soren Skou,,,,,,,
1271,PETROLEO BRASILEIRO - PETROBRAS,,68.487 Billion USD,,Brazil,,,,Roberto Castello Branco,,,,,,,
1272,ALDI,,256,,Germany,,,,,,,,,,,
1273,KDDI CORPORATION,,69.533 Billion USD,,Japan,,,,Takashi Tanaka,,,,,,,
1274,LONGI GREEN ENERGY TECHNOLOGY,,69.039 Billion USD,,China,,,,Baoshen Zhong,,,,,,,
1275,ZURICH INSURANCE GROUP AG,,65.651 Billion USD,,Switzerland,,,,Tom de Swaan,,,,,,,
1276,WASTE MANAGEMENT,,65.317 Billion USD,,USA,,,,Thomas (Tom) H . Weidemeyer,,,,,,,
1277,NONGFU SPRING,,59.798 Billion USD,,China,,,,,,,,,,,
1278,EATON CORPORATION,,67.108 Billion USD,,Ireland,,,,Craig Arnold,,,,,,,
1279,NETEASE,,67.760 Billion USD,,China,,,,Ding Lei,,,,,,,
1280,DENSO CORPORATION,,54.482 Billion USD,,Japan,,,,Koji Arima,,,,,,,
1281,UBS GROUP AG,,57.919 Billion USD,,Switzerland,,,,Colm Kelleher,,,,,,,
1282,SNAP INC,,120.340 Billion USD,,USA,,,,Michael Lynton,,,,,,,
1283,INDUSTRIAL BANK,,59.705 Billion USD,,China,,,,Yiping Tao,,,,,,,
1284,AMERICA MOVIL,,65.350 Billion USD,,Mexico,,,,Carlos Slim Domit,,,,,,,
1285,PT BANK CENTRAL ASIA TBK,,56.651 Billion USD,,Indonesia,,,,Jahja Setiaatmadja,,,,,,,
1286,AIR PRODUCTS AND CHEMICALS,,59.660 Billion USD,,USA,,,,Seifi Ghasemi,,,,,,,
1287,ECOLAB,,64.473 Billion USD,,USA,,,,"Douglas M. Baker, Jr",,,,,,,
1288,CAPITAL ONE FINANCIAL CORPORATION,,74.042 Billion USD,,USA,,,,Richard Fairbank,,,,,,,
1289,NIDEC CORPORATION,,67.613 Billion USD,,Japan,,,,Shigenobu Nagamori,,,,,,,
1290,DAIKIN INDUSTRIES,,73.464 Billion USD,,Japan,,,,Noriyuki Inoue,,,,,,,
1291,BLOCK INC,,123.230 Billion USD,,USA,,,,Jack Dorsey,,,,,,,
1292,DBS GROUP HOLDINGS,,57.451 Billion USD,,Singapore,,,,Dhanabalan,,,,,,,
1293,WHATSAPP,,276,,USA,,,,,,,,,,,
1294,CHINA SHENHUA ENERGY COMPANY,,57.673 Billion USD,,China,,,,Yang Jiping,,,,,,,
1295,DOMINION ENERGY,,62.933 Billion USD,,USA,,,,Robert M. Blue,,,,,,,
1296,REGENERON PHARMACEUTICALS,,72.417 Billion USD,,USA,,,,Leonard Schleifer,,,,,,,
1297,STELLANTIS N.V,,62.339 Billion USD,,Netherlands,,,,John Elkann,,,,,,,
1298,PROGRESSIVE CORPORATION,,56.388 Billion USD,,USA,,,,Peter B. Lewis,,,,,,,
1299,CHINA TOURISM GROUP DUTY FREE CORPORATION LIMITED,,69.203 Billion USD,,China,,,,,,,,,,,
1300,MEDIATEK,,52.812 Billion USD,,Taiwan,,,,Ming-Kai Tsai,,,,,,,
1301,KLA CORPORATION,,51.924 Billion USD,,USA,,,,Kenneth Levy,,,,,,,
1302,NORTHROP GRUMMAN CORPORATION,,58.872 Billion USD,,USA,,,,Kathy Warden,,,,,,,
1303,FERRARI,,53.761 Billion USD,,Italy,,,,John Elkann,,,,,,,
1304,WAL-MART DE MEXICO,,62.400 Billion USD,,Mexico,,,,Eduardo Solorzano Morales,,,,,,,
1305,WORKDAY,,67.744 Billion USD,,USA,,,,Chano Fernandez,,,,,,,
1306,SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS,,60.359 Billion USD,,China,,,,,,,,,,,
1307,PUBLIC STORAGE,,56.793 Billion USD,,USA,,,,Joseph D. Russell Jr,,,,,,,
1308,HDFC,,68.936 Billion USD,,India,,,,,,,,,,,
1309,AON,,64.758 Billion USD,,USA,,,,Dennis L Mahoney,,,,,,,
1310,RECKITT BENCKISER GROUP,,54.780 Billion USD,,UK,,,,,,,,,,,
1311,BAJAJ FINANCE,,63.560 Billion USD,,India,,,,,,,,,,,
1312,FREEPORT-MCMORAN,,53.423 Billion USD,,USA,,,,James R Moffett,,,,,,,
1313,BANCO SANTANDER,,63.883 Billion USD,,Spain,,,,,,,,,,,
1314,"COINBASE GLOBAL, INC",,67.832 Billion USD,,USA,,,,Brian Armstrong,,,,,,,
1315,AB VOLVO,,56.225 Billion USD,,Sweden,,,,Carl-Henric Svanberg,,,,,,,
1316,VINCI,,63.458 Billion USD,,France,,,,,,,,,,,
1317,PERNOD RICARD,,56.418 Billion USD,,France,,,,,,,,,,,
1318,BOSTON SCIENTIFIC CORPORATION,,64.287 Billion USD,,USA,,,,Michael F. Mahoney,,,,,,,
1319,SAUDI TELECOM COMPANY (STC),,72.144 Billion USD,,Saudi Arabia,,,,Olayan M. Alwetaid,,,,,,,
1320,ANGLO AMERICAN,,57.498 Billion USD,,UK,,,,,,,,,,,
1321,INFINEON TECHNOLOGIES AG,,55.947 Billion USD,,Germany,,,,,,,,,,,
1322,PJSC LUKOIL,,55.821 Billion USD,,Russia,,,,,,,,,,,
1323,SOFTBANK CORP.,,63.618 Billion USD,,Japan,,,,Ken Miyauchi,,,,,,,
1324,GENERAL DYNAMICS CORPORATION,,55.995 Billion USD,,USA,,,,Nicholas Chabraja,,,,,,,
1325,SCENTRE GROUP,,10.700 Billion USD,,Australia,,,,,,,,,,,
1326,NXP SEMICONDUCTORS,,60.355 Billion USD,,Netherlands,,,,Kurt Sievers,,,,,,,
1327,STATE BANK OF INDIA,,53.704 Billion USD,,India,,,,,,,,,,,
1328,RELX,,58.323 Billion USD,,UK,,,,,,,,,,,
1329,XIAOMI CORPORATION,,82.097 Billion USD,,China,,,,Lei Jun,,,,,,,
1330,MACQUARIE GROUP,,47.650 Billion USD,,Australia,,,,,,,,,,,
1331,ILLUMINA,,71.546 Billion USD,,USA,,,,John W. Thompson,,,,,,,
1332,AUTODESK,,68.224 Billion USD,,USA,,,,Stacy J. Smith,,,,,,,
1333,LONZA GROUP,,61.909 Billion USD,,Switzerland,,,,Albert M. Baehny,,,,,,,
1334,ANZ BANKING GROUP,,60.181 Billion USD,,Australia,,,,,,,,,,,
1335,EOG RESOURCES,,39.422 Billion USD,,USA,,,,Ezra Yacob,,,,,,,
1336,CHINA TELECOM CORPORATION,,59.710 Billion USD,,China,,,,Mr. Ke Ruiwen,,,,,,,
1337,WESTPAC BANKING CORPORATION,,69.093 Billion USD,,Australia,,,,,,,,,,,
1338,EMERSON ELECTRIC COMPANY,,63.068 Billion USD,,USA,,,,Lal Karsanbhai,,,,,,,
1339,METLIFE,,53.128 Billion USD,,USA,,,,C. Robert Henrikson,,,,,,,
1340,VERTEX PHARMACEUTICALS,,51.961 Billion USD,,USA,,,,Reshma Kewalramani,,,,,,,
1341,SHANXI XINGHUACUN FEN WINE FACTORY,,51.060 Billion USD,,China,,,,,,,,,,,
1342,ING GROUP,,53.954 Billion USD,,Netherlands,,,,,,,,,,,
1343,HITACHI,,54.345 Billion USD,,Japan,,,,Toshiaki Higashihara,,,,,,,
1344,HAPAG-LLOYD,,40.048 Billion USD,,Germany,,,,,,,,,,,
1345,CANADIAN IMPERIAL BANK OF COMMERCE,,51.764 Billion USD,,Canada,,,,Katharine Stevenson ,,,,,,,
1346,JOHNSON CONTROLS INTERNATIONAL,,53.395 Billion USD,,USA,,,,George R. Oliver,,,,,,,
1347,"YIHAI KERRY ARAWANA HOLDINGS CO., LTD",,55.886 Billion USD,,China,,,,,,,,,,,
1348,CANADIAN NATURAL RESOURCES,,39.058 Billion USD,,Canada,,,,N. Murray Edwards,,,,,,,
1349,VERBUND AG,,38.474 Billion USD,,Austria,,,,Martin Ohneberg,,,,,,,
1350,SIKA AG,,50.743 Billion USD,,Switzerland,,,,Paul J. Halg,,,,,,,
1351,EXELON CORPORATION,,47.933 Billion USD,,USA,,,,Frank M. Clark,,,,,,,
1352,OPEN JOINT STOCK COMPANY OMZ,,46.998 Billion USD,,Russia,,,,,,,,,,,
